"SETID","SITEID","SITENAME","ADDRESS1","ADDRESS2","ADDRESS3","ADDRESS4","PHONE1","PHONE2","CONTACT1","CONTACT2","LINKCODE","CAMPUSID"
"LIVE-15-16","BMA","British Medical Association","","","","","","","","","","X06"
"LIVE-15-16","UCHEC","UCH Education Centre","1st Floor","West Wing","250 Euston Road","London , NW1 2PG","","","","","","X06"
"LIVE-15-16","30ESQ","30 Euston Sq","","","","","","","","","","X06"
"LIVE-15-16","BCM","Bruce Castle Museum","Lordship Lane","Tottenham","London","N17 8NU","","","","","","X06"
"LIVE-16-17","081","Taviton Street 3-4","3-4 Taviton Street","London","WC1H 0BT","","","","","","126","X01"
"LIVE-15-16","WES","Wesley Hotel The","81-103 Euston St","London","NW1 2EZ","","","","","","150","X06"
"LIVE-16-17","HAM","Hamilton House","","","","","","","","","","X06"
"LIVE-15-16","SWC","Sainsbury Wellcome Centre","25 Howland St","","","","","","","","","X06"
"LIVE-17-18","HAM","Hamilton House","","","","","","","","","","X06"
"LIVE-17-18","TEMP","TEMP BUILIDNG","","","","","","","","","","X06"
"LIVE-17-18","031","Anechoic Room","Rear of 21 Gordon Sq","London","WC1E 6BT","","","","","","031","X01"
"LIVE-15-16","307","Queen Square, 7","7 Queen Square","London","WC1N 3AR","","020 7837 3611","","","","378","X05"
"LIVE-15-16","242","Queen Square House","22 Queen Square","London","WC1N 3RX","","020 7837 3611","","","","378","X05"
"LIVE-15-16","248","National Hospital for Neurology and Neurosurgery - West Wing","Queen Square","London","WC1NBG","","020 7837 3611","","","","378","X05"
"LIVE-15-16","247","Queen Square, 8-11","8-11 Queen Square","London","WC1N 3AR","","020 7837 3611","","","","378","X05"
"LIVE-15-16","BWA","Bengali Workers Association","Surma Community Centre","1 Roberts Road","Camden","NW1 3JU","","","","","","X06"
"LIVE-15-16","Wilson","Wilson Street (69)","69 Wilson Street","London","EC2A 2BB","","","","","","","X06"
"LIVE-15-16","CAMLEY","Camley Street","Camley Street","","","","","","","","","X05"
"LIVE-15-16","UNI","UNISON Centre","130 Euston Road","London","NW1 2AY","","","","","","","X06"
"LIVE-15-16","FM","Foundling Museum","","","","","020 7841 3616","","","","","X06"
"LIVE-16-17","TEMP","TEMP BUILIDNG","","","","","","","","","","X06"
"LIVE-15-16","400","Bidborough House","38-50 Bidborough Street,","London,","WC1H 9BT","","","","","","",""
"LIVE-17-18","246","Inst Neurology - Queen Square, 12","12 Queen Square","London","WC1N 3AR","","","","","","246","X05"
"LIVE-15-16","X402","South Quad Pop Up Learning Hub","Gower St","London","","","","","","","","X01"
"LIVE-15-16","IMPH","Imperial Hotel","Russell Square","London","","","","","","","","X06"
"LIVE-15-16","CWAY","Conway Hall","25 Red Lion Square","London","WC1R 4RL","","020 7405 1818","","","","","X06"
"LIVE-16-17","031","Anechoic Room","Rear of 21 Gordon Sq","London","WC1E 6BT","","","","","","031","X01"
"LIVE-16-17","246","Inst Neurology - Queen Square, 12","12 Queen Square","London","WC1N 3AR","","","","","","246","X05"
"LIVE-16-17","270","Inst of Orth - Biomedical Engineering Building","Brockley Hill, Stanmore","Middlesex","HA7 4LP","","","","","","","X04"
"LIVE-16-17","267","Inst of Orth - Research Block","Brockley Hill, Stanmore","Middlesex","HA7 4LP","","","267","","","","X04"
"LIVE-16-17","387","Maple House","149 Tottenham Court Road","London","W1T 7DN","","","","","","387","X01"
"LIVE-16-17","090","Institute of Archaeology","31-34 Gordon Square","London,","WC1H 0PY","","","","","","090","X01"
"LIVE-16-17","110","MSSL Holmbury St Mary, Holmbury House","Holmbury St Mary","Dorking","RH5 6NT","","","","","","110","X01"
"LIVE-16-17","095","Gower Place, 23","23 Gower Place","London,","WC1E 6BN","","","","","","094","X01"
"LIVE-16-17","FM","Foundling Museum","","","","","","","","","","X06"
"LIVE-15-16","BLM","Bloomsbury theatre","","","","","","","","","","X06"
"LIVE-15-16","CIWEM","CIWEM","106-109 Saffron Hill","Farringdon","London","EC1N 8 QS","","","","","","X06"
"LIVE-17-18","270","Inst of Orth - Biomedical Engineering Building","Brockley Hill, Stanmore","Middlesex","HA7 4LP","","","","","","","X04"
"LIVE-17-18","267","Inst of Orth - Research Block","Brockley Hill, Stanmore","Middlesex","HA7 4LP","","","267","","","","X04"
"LIVE-17-18","387","Maple House","149 Tottenham Court Road","London","W1T 7DN","","","","","","387","X01"
"LIVE-17-18","090","Institute of Archaeology","31-34 Gordon Square","London,","WC1H 0PY","","","","","","090","X01"
"LIVE-17-18","110","MSSL Holmbury St Mary, Holmbury House","Holmbury St Mary","Dorking","RH5 6NT","","","","","","110","X01"
"LIVE-17-18","095","Gower Place, 23","23 Gower Place","London,","WC1E 6BN","","","","","","094","X01"
"LIVE-17-18","FM","Foundling Museum","","","","","","","","","","X06"
"LIVE-17-18","BMA","British Medical Association","","","","","","","","","","X06"
"LIVE-17-18","252","The Sainsbury Wellcome Centre","25 Howland St","London","","","","","","","","X06"
"LIVE-17-18","307","Inst Neurology - Queen Square, 7","7 Queen Square","London","WC1N 3AR","","020 7837 3611","","","","378","X05"
"LIVE-17-18","242","Inst Neurology - Queen Square House","22 Queen Square","London","WC1N 3RX","","020 7837 3611","","","","378","X05"
"LIVE-17-18","248","National Hospital for Neurology and Neurosurgery - West Wing","Queen Square","London","WC1NBG","","020 7837 3611","","","","378","X05"
"LIVE-17-18","247","Inst Neurology - Queen Square, 8-11","8-11 Queen Square","London","WC1N 3AR","","020 7837 3611","","","","378","X05"
"LIVE-17-18","BWA","Bengali Workers Association","Surma Community Centre","1 Roberts Road","Camden","NW1 3JU","","","","","","X06"
"LIVE-17-18","Wilson","Wilson Street (69)","69 Wilson Street","London","EC2A 2BB","","","","","","","X06"
"LIVE-17-18","CAMLEY","Camley Street","Camley Street","","","","","","","","","X06"
"LIVE-17-18","UNI","UNISON Centre","130 Euston Road","London","NW1 2AY","","","","","","","X06"
"LIVE-17-18","400","Bidborough House","38-50 Bidborough Street,","London,","WC1H 9BT","","","","","","",""
"LIVE-17-18","X402","South Quad Pop Up Learning Hub","Gower St","London","","","","","","","","X01"
"LIVE-17-18","IMPH","Imperial Hotel","Russell Square","London","","","","","","","","X06"
"LIVE-17-18","CWAY","Conway Hall","25 Red Lion Square","London","WC1R 4RL","","020 7405 1818","","","","","X06"
"LIVE-17-18","317","Hampstead Road, 132","132 Hampstead Road,","London","NW1 2PS","","","","","","204","X01"
"LIVE-17-18","318","Hampstead Road, 140","140 Hampstead Road,","London","NW1 2BX","","","","","","204","X01"
"LIVE-17-18","MWH","Mary Ward House","5-7 Tavistock Pl,","London","WC1H 9SN","","","","","","","X06"
"LIVE-17-18","WHITU","Whittington Intensive Care","Whittington Hospital","Highgate Hill","London","N19 5NF","","","ITU Ward Clerk","","","X03"
"LIVE-17-18","WHTHE","Whittington Theatres","Whittington Hospital","Highgate Hill","London","N19 5NF","","","Theatre Sec/Sister","","","X03"
"LIVE-17-18","WHAAE","Whittington Accident & Emergency","Whittington Hospital","Highgate Hill","London","N19 5NF","","","A&E Secretary","","","X03"
"LIVE-17-18","WHJEN","Whittington Jenner Building","Whittington Hospital","Highgate Hill","London","N19 5NF","020 7288 5989","","Eileen","","","X03"
"LIVE-17-18","WHTCC","Whittington Trevour Clay Centre","Whittington Hospital","Highgate Hill","London","N19 5NF","020 7288 5658/4442","","Whittington Estates and Facilities","","","X03"
"LIVE-17-18","228","Staple Building","The Archway Campus","2-10 Highgate Hill","London","N19 5LW","020 7288 3627","020 7288 5918","Alison Banerjee","Anthony Tyrrell","","X03"
"LIVE-17-18","107","Drayton House","30 Gordon St","London","WC1H 0BE","","","","","","107","X01"
"LIVE-17-18","NOMDX","North Middlesex","","","","","","","","","","X04"
"LIVE-17-18","281","Royal Free Hospital","Rowland Hill,Hampstead","LONDON,","NW3 2PF","","","","","","281","X03"
"LIVE-17-18","042","DMS Watson Building","Gower Street,","London","WC1E 6BT","","","","","","042","X01"
"LIVE-17-18","LEWBLD","Lewis's Building","Gower Street","London","WC1E 6BT","","","","","","","X01"
"LIVE-17-18","350","Malet Place Engineering Building","Gower Street","London","WC1E 6BT","","","","","","350","X01"
"LIVE-17-18","126","Taviton Street 14-16","15 Taviton Street","London","WC1H 0BW","","","","","","126","X01"
"LIVE-17-18","050","Bernard Katz Building","Gower Street,","London","WC1E 6BT","","","","","","050","X01"
"LIVE-17-18","024","Gordon Square, 26","26 Gordon Square","London","WC1H 0AG","","","","","","024","X01"
"LIVE-17-18","GOS3943","Gordon Square, 43","43 Gordon Square","London","WC1H 0PD","","","","","","","X01"
"LIVE-17-18","KINGSCL","Kings College London","","","","","","","","","","X06"
"LIVE-17-18","180","Birkbeck Malet Street","Malet Street","London","","","","","","","","X06"
"LIVE-17-18","081","Taviton Street 3-4","3-4 Taviton Street","London","WC1H 0BT","","","","","","126","X01"
"LIVE-17-18","INCN","Institute of Cognitive Neuroscience","Alexandra House, 17 Queen Square","London","WC1N 3AR","","020 7679 1177","","","","","X05"
"LIVE-17-18","381","Wellcome Trust Building","183 Euston Road","LONDON","NW1 2BE","","","","","","381","X06"
"LIVE-17-18","182","Birkbeck Clore Management Centre","Torrington Square","London","WC1","","","","","","","X06"
"LIVE-17-18","377","Tavistock Square, 34","34 Tavistock Square,","London","WC1H 9EZ","","","","","","377","X01"
"LIVE-17-18","009","Central Collegiate Building","15 Gordon Street","London","WC1H 0AH","","","","","","009","X01"
"LIVE-17-18","046","Malet Place, 1-4","1-4 Malet Place,","London","WC1E 7JG","","","","","","046","X01"
"LIVE-17-18","235","Chandler House","2 Wakefield Street","London","WC1N 1PG","","","","","","235","X01"
"LIVE-17-18","012","South Wing","Gower Street,","London","WC1E 6BT","","","","","","012","X01"
"LIVE-17-18","034","Contemplation Room","Hut at Rear 19 Gordon Sq","London","WC1E 6BT","","","","","","034","X01"
"LIVE-17-18","086","Torrington Place, 1-19","1-19 Torrington Place","London","WC1E 7HB","","","","","","086","X01"
"LIVE-17-18","251","Astor College","99 Charlotte Street","London","W1T 4QB","","","","","","251","X01"
"LIVE-17-18","257","Charles Bell House","67-73 Riding House St","London","W1P 7PP","","","","","","257","X01"
"LIVE-17-18","088","Gordon House","29 Gordon Sq","London","WC1H 0PP","","","","","","088","X01"
"LIVE-17-18","094","Slade School - Woburn Square","Woburn Sq","London,","WC1H 0AB","","","","","","094","X01"
"LIVE-17-18","002","Gordon Street, 25","25 Gordon Street","London","WC1H 0AY","","","","","","002","X01"
"LIVE-17-18","003","Pearson Building","Gower Street,","London","WC1E 6BT","","","","","","003","X01"
"LIVE-17-18","005","Main Building","Gower Street","London","WC1E 6BT","","","","","","005","X01"
"LIVE-17-18","006","Physics Building","Gower Street,","London","WC1E 6BT","","","","","","006","X01"
"LIVE-17-18","013","Chadwick Building","Gower Street,","London","WC1E 6BT","","","","","","013","X01"
"LIVE-17-18","016","Medical Sciences and Anatomy","Gower Street","London","WC1E 6BT","","","","","","016","X01"
"LIVE-17-18","HUNTL","Huntley Street","Gower Street","London","WC1E 6BT","","","","","","","X01"
"LIVE-17-18","WHNUH","Whittington Nurses Home","Whittington Hospital","Highgate Hill","London","N19 5NF","020 7288 5658/4442","","Whittington Estates and Facilities","","","X03"
"LIVE-17-18","WHWEC","Whittington Education Centre","Whittington Hospital","Highgate Hill","London","N19 5NF","020 7288 3627","020 7288 5918","Alison Banerjee","Anthony Tyrrell","","X03"
"LIVE-17-18","224","Clerkenwell Building","ARCHWAY ROAD","LONDON","N19 3UA","","0207 288 3627","0207 288 5918","Alison Banerjee","Anthony Tyrrell","224","X03"
"LIVE-17-18","CHAFRM","Chase Farm Hospital","","","","","020 7288 3627","020 7288 5918","Alsion Banerjee","Anthony Tyrrell","","X03"
"LIVE-17-18","222","Estates and Facilities Hut","ARCHWAY ROAD","LONDON,","N19 3UA","","020 7288 3627","020 7288 5918","Alison Banerjee","Anthony Tyrrell","222","X03"
"LIVE-17-18","211","Ely Building","ARCHWAY ROAD,","LONDON","N19 3UA","","020 7288 3627","020 7288 5918","Alison Banerjee","Anthony Tyrrell","211","X03"
"LIVE-17-18","TAV29","Tavistock Square, 29","Gower Street","London","WC1E 6BT","","","","","","","X01"
"LIVE-17-18","352","Tottenham Court Road, 90","90 Tottenham Court Road","London","W1T 4TJ","","","","","","352","X01"
"LIVE-17-18","RYHLWY","Royal Holloway","Bedford Square, 2 Gower Street","London","WC1E 6DP","","","","","","","X06"
"LIVE-17-18","RP","Regent's Park","London","NW1 4RY","","","","","","","","X06"
"LIVE-17-18","OVER1","Overseas","","","","","","","","","","X06"
"LIVE-17-18","FH","Friends House","173 Euston Road","London","NW1 2BJ","","020 7663 1000","","","","","X06"
"LIVE-17-18","238","Institute of Child Health - 30 Guildford Street","30 Guildford Street","London","WC1N 1EH","","","","","","238","X05"
"LIVE-17-18","240","Institute of Child Health - Wolfson Centre","MECKLENBURGH SQUARE","London","WC1N2AD","","","","","","240","X05"
"LIVE-17-18","007","London Centre for Nanotechnology","","","","","","","","","006","X01"
"LIVE-17-18","053","MRC Building","Gower Street","London,","WC1E 6BT","","","","","","053","X01"
"LIVE-17-18","Q001","Georgetown Building","UCL Qatar","","","","","","","","","X07"
"LIVE-17-18","389","Tavistock Square, 35","34 Tavistock Square,","London","WC1H 9EZ","","","","","","389","X01"
"LIVE-17-18","CCLS","Centre for Commercial Law Studies - Queen Mary, University of London","67-69 Lincoln's Inn Fields,","London WC2A 3JB","","","","","","","","X06"
"LIVE-17-18","LSE","London School of Economics","Houghton Street","London","WC2A 2AE","","","","","","","X06"
"LIVE-17-18","374","Medical School Building","74 Huntley Street","London","WC1E 6AU","","","","","","374","X01"
"LIVE-17-18","388","Central House","14 Upper Woburn","London","WC1H 0NN","","","","","","388","X01"
"LIVE-17-18","NHNN","National Hospital for Neurology and Neurosurgery","Queen Square","London","WC1N 3BG","","","","","","","X05"
"LIVE-17-18","200","Paul O'Gorman","72 Huntley Street","London","WC1E 6DD","","","","","","200","X01"
"LIVE-17-18","227","Furnival Building","Archway Roa","London","N19 3UA","","0207288 3627","0207288 5918","Alison Banerjee","Anthony Tyrrell","227","X03"
"LIVE-17-18","025","Gordon Square, 25","25 Gordon Square","London","WC1H 0AG","","","","","","025","X01"
"LIVE-17-18","028","Gordon Square, 23","23 Gordon Square","London","WC1H 0AG","","","","","","028","X01"
"LIVE-17-18","032","Gordon Square, 20","20 Gordon Square","London","WC1H 0AG","","","","","","032","X01"
"LIVE-17-18","037","Medawar Building","Gower Street","London","WC1E 6BT","","","","","","037","X01"
"LIVE-17-18","040","Foster Court","Gower Street,","London","WC1E 6BT","","","","","","040","X01"
"LIVE-17-18","044","Darwin Building","Gower Street,","London","WC1E 6BT","","","","","","044","X01"
"LIVE-17-18","045","Roberts Building","Torrington Place","London","WC1E 7JE","","","","","","045","X01"
"LIVE-17-18","049","Wolfson House","2-10 Stephenson Way","London","NW1 2HE","","","","","","049","X01"
"LIVE-17-18","056","Bentham House","4-8 Endsleigh Gardens","London","WC1H 0EG","","","","","","056","X01"
"LIVE-17-18","067","Christopher Ingold Building","20 Gordon Street","London","WC1H 0AJ","","","","","","067","X01"
"LIVE-17-18","082","Gordon St, 22 (formerly Wates House)","London","WC1H 0BJ","","","","","","","082","X01"
"LIVE-17-18","085","Bedford Way, 26","26 Bedford Way","London","WC1H 0DS","","","","","","085","X01"
"LIVE-17-18","201","Rockefeller Building","21 University Street","London","WC1E 6JJ","","","","","","201","X01"
"LIVE-17-18","121","Mill Hill - Radcliffe Observatory","553 WATFORD WAY, MILL HILL,","LONDON,","NW7 2QS","","","","","","121","X04"
"LIVE-17-18","122","Mill Hill - Fry Observatory","553 WATFORD WAY, MILL HILL,","LONDON,","NW7 2QS","","","","","","122","X04"
"LIVE-17-18","036","Henry Morley","Gower Street,","London","WC1E 6BT","","","","","","036","X01"
"LIVE-17-18","274","Inst of Orth - Teaching Centre","Brockley Hill, Stanmore","Middlesex","HA7 4LP","","","274","","","","X04"
"LIVE-17-18","212","Cruciform Building","Gower Street,","London","WC1E 6BT","","","","","","212","X01"
"LIVE-17-18","231","Wolfson Building, 27-29 Cayton St","27-29 Cayton Street","London","EC1V 9EJ","","","231","","","231","X05"
"LIVE-17-18","232","Ashton Building, 11-43, Bath St","11-43 Bath Street","London","EC1V 9EL","","","","","","232","X05"
"LIVE-17-18","MOEH","Moorfields Eye Hospital","Bath Street","","","","","233","","","","X05"
"LIVE-17-18","234","Institute of Ophthalmology Cayton St, 17-25","17-25 Cayton Street","London","EC1V 9EH","","","","","","234","X05"
"LIVE-17-18","280","Ear Institute - Gray's Inn Road, 334-336","334-336 GRAYS INN ROAD","LONDON","WC1X 8EE","","","","","","280","X05"
"LIVE-17-18","048","Gower Street, 134-136","134-136 Gower Street","London","WC1E 6BP","","","048","","","048","X01"
"LIVE-17-18","WHBLSMW","Whittington Block L, St. Mary's Wing","","","","","","225","","","","X03"
"LIVE-17-18","264","Institute of Laryngology & Otology","","","","","","264","","","","X05"
"LIVE-17-18","WHBEFAW","Whittington Blocks E&F, Archway Wing","","","","","","221","","","","X03"
"LIVE-17-18","215","Mortimer Market Centre","9-11 Mortimer Market","London","WC1E 6AU","","","215","","","","X01"
"LIVE-17-18","014","Front Lodges","Gower Street","London","WC1E 6BT","","","","","","014","X01"
"LIVE-17-18","120","Mill Hill - Wilson Observatory","553 Watford Way, Mill Hill,","London,","NW7 2QS","","","","","","120","X04"
"LIVE-17-18","Senate","Senate House","Malet Street","London","","","","","","","","X06"
"LIVE-17-18","378","Inst Neurology - Queen Square, 33","33 Queen Square","London","WC1N 3BG","","020 7837 3611","","","","378","X05"
"LIVE-17-18","MEGA","Menier Gallery","51-53 Southwark Street","London","SE1 1RU","","020 7407 3222","","","","","X06"
"LIVE-17-18","INALS","Institute of Advanced Legal Studies","Charles Clore House,17 Russell Square","London","WC1B 5DR","","020 7862 5800","","","","001","X06"
"LIVE-17-18","ULU","University of London Union ULU","Malet Street","London","WC1E 7HY","","","","","","","X06"
"LIVE-17-18","STPHW9","St. Pancras Hospital, Ward 9","Gower Street","London","WC1E 6BT","","","217","","","","X06"
"LIVE-17-18","181","Birkbeck Gordon Square, 43","39-41 Gordon Square","London","WC1H 0PD","","","","","","091","X06"
"LIVE-17-18","001","Kathleen Lonsdale Building","Gower Street,","London","WC1E 6BT","","","","","","001","X01"
"LIVE-17-18","004","Slade School - North Wing","Gower Street","London","WC1E 6BT","","","004","","","004","X01"
"LIVE-17-18","029","Gordon Square, 22","22 Gordon Square","London","WC1H 0AG","","","","","","029","X01"
"LIVE-17-18","030","Gordon Square, 21","21 Gordon Square","London","WC1H 0AG","","","","","","030","X01"
"LIVE-17-18","033","Gordon Square, 19","19 Gordon Square","London","WC1H 0AG","","","","","","033","X01"
"LIVE-17-18","035","Gordon Square, 16-18","16-18 Gordon Square","London","WC1H 0AG","","","","","","035","X01"
"LIVE-17-18","SSEES12","Taviton Street, 14","14 Taviton Street","London","WC1H 0BW","","","","","","126","X01"
"LIVE-17-18","IMP","Imperial College","London","","","","","","","","001","X06"
"LIVE-17-18","SOAS","SOAS","Thornhaugh Street, Russell Square","London","WC1H 0XGT","","020 7637 2388","","","","","X06"
"LIVE-17-18","041","Petrie Museum - Egyptology","Malet Place","London","WC1E 6BT","","020 7679 2884","","","","041","X01"
"LIVE-17-18","EXT","External","","","","","","","","","","X06"
"LIVE-17-18","RYCGSR","Royal College of Surgeons","35-43 Lincoln's Inn Fields","London","WC2A 3PE","","020 74053474","","","","","X06"
"LIVE-17-18","LBS","London Business School","","","","","","","","","","X06"
"LIVE-17-18","084","IOE - Endsleigh Gardens, 9-11","9-11 Endsleigh Gardens","London","WC1H 0EH","","","084","","","","X01"
"LIVE-17-18","202","Rayne Institute","5 UNIVERSITY STREET,","LONDON,","WC1E 6JJ","","","","","","202","X01"
"LIVE-17-18","363","Tottenham Court Road, 188","188 Tottenham Court Road","London","W1T 7PH","","","","","","363","X01"
"LIVE-17-18","371","Gordon Square, 49-51","49 -51 Gordon Square","London","WC1H 0PN","","","","","","371","X01"
"LIVE-17-18","365","Engineering Front Building","Torrington Place","London","WC1E 7JE","","","","","","365","X01"
"LIVE-17-18","203","Gower St 115-117 & 96A-98 Chenies Ms","115 - 117 Gower Street,","London","WC1E 6AP","","","","","","203","X01"
"LIVE-17-18","204","Chenies Mews, 86-98","86-96 & 96A-98 Chenies Mews","London","WC1E 6HX","","","","","","204","X01"
"LIVE-15-16","317","Hampstead Road, 132","132 Hampstead Road,","London","NW1 2PS","","","","","","204","X01"
"LIVE-15-16","318","Hampstead Road, 140","140 Hampstead Road,","London","NW1 2BX","","","","","","204","X01"
"LIVE-15-16","MWH","Mary Ward House","5-7 Tavistock Pl,","London","WC1H 9SN","","","","","","","X06"
"LIVE-15-16","WHITU","Whittington Intensive Care","Whittington Hospital","Highgate Hill","London","N19 5NF","","","ITU Ward Clerk","","","X03"
"LIVE-15-16","WHTHE","Whittington Theatres","Whittington Hospital","Highgate Hill","London","N19 5NF","","","Theatre Sec/Sister","","","X03"
"LIVE-15-16","WHAAE","Whittington Accident & Emergency","Whittington Hospital","Highgate Hill","London","N19 5NF","","","A&E Secretary","","","X03"
"LIVE-15-16","WHJEN","Whittington Jenner Building","Whittington Hospital","Highgate Hill","London","N19 5NF","020 7288 5989","","Eileen","","","X03"
"LIVE-15-16","WHTCC","Whittington Trevour Clay Centre","Whittington Hospital","Highgate Hill","London","N19 5NF","020 7288 5658/4442","","Whittington Estates and Facilities","","","X03"
"LIVE-15-16","228","Staple Building","The Archway Campus","2-10 Highgate Hill","London","N19 5LW","020 7288 3627","020 7288 5918","Alison Banerjee","Anthony Tyrrell","","X03"
"LIVE-15-16","107","Drayton House","30 Gordon St","London","WC1H 0BE","","","","","","107","X01"
"LIVE-15-16","NOMDX","North Middlesex","","","","","","","","","","X04"
"LIVE-16-17","BMA","British Medical Association","","","","","","","","","","X06"
"LIVE-17-18","244","Alexandra House","17-19 Queen Square","London","WC1N 3AZ","","","","","","244","X05"
"LIVE-15-16","281","Royal Free Hospital","Rowland Hill,Hampstead","LONDON,","NW3 2PF","","","","","","281","X03"
"LIVE-15-16","042","DMS Watson Building","Gower Street,","London","WC1E 6BT","","","","","","042","X01"
"LIVE-15-16","LEWBLD","Lewis's Building","Gower Street","London","WC1E 6BT","","","","","","","X01"
"LIVE-15-16","350","Malet Place Engineering Building","Gower Street","London","WC1E 6BT","","","","","","350","X01"
"LIVE-15-16","126","Taviton Street 14-16","15 Taviton Street","London","WC1H 0BW","","","","","","126","X01"
"LIVE-15-16","050","Bernard Katz Building","Gower Street,","London","WC1E 6BT","","","","","","050","X01"
"LIVE-15-16","024","Gordon Square, 26","26 Gordon Square","London","WC1H 0AG","","","","","","024","X01"
