"SETID","SITEID","SITENAME","ADDRESS1","ADDRESS2","ADDRESS3","ADDRESS4","PHONE1","PHONE2","CONTACT1","CONTACT2","LINKCODE","CAMPUSID"
"LIVE-15-16","GOS3943","Gordon Square, 43","43 Gordon Square","London","WC1H 0PD","","","","","","","X01"
"LIVE-15-16","KINGSCL","Kings College London","","","","","","","","","","X06"
"LIVE-15-16","180","Birkbeck Malet Street","Malet Street","London","","","","","","","","X06"
"LIVE-15-16","INCN","Institute of Cognitive Neuroscience","Alexandra House, 17 Queen Square","London","WC1N 3AR","","020 7679 1177","","","","","X05"
"LIVE-15-16","381","Wellcome Trust Building","183 Euston Road","LONDON","NW1 2BE","","","","","","381","X06"
"LIVE-15-16","182","Birkbeck Clore Management Centre","Torrington Square","London","WC1","","","","","","","X06"
"LIVE-15-16","377","Tavistock Square, 34","34 Tavistock Square,","London","WC1H 9EZ","","","","","","377","X01"
"LIVE-15-16","009","Central Collegiate Building","15 Gordon Street","London","WC1H 0AH","","","","","","009","X01"
"LIVE-15-16","046","Malet Place, 1-4","1-4 Malet Place,","London","WC1E 7JG","","","","","","046","X01"
"LIVE-15-16","235","Chandler House","2 Wakefield Street","London","WC1N 1PG","","","","","","235","X01"
"LIVE-15-16","012","South Wing","Gower Street,","London","WC1E 6BT","","","","","","012","X01"
"LIVE-15-16","034","Contemplation Room","Hut at Rear 19 Gordon Sq","London","WC1E 6BT","","","","","","034","X01"
"LIVE-15-16","086","Torrington Place, 1-19","1-19 Torrington Place","London","WC1E 7HB","","","","","","086","X01"
"LIVE-15-16","251","Astor College","99 Charlotte Street","London","W1T 4QB","","","","","","251","X01"
"LIVE-15-16","257","Charles Bell House","67-73 Riding House St","London","W1P 7PP","","","","","","257","X01"
"LIVE-15-16","088","Gordon House","29 Gordon Sq","London","WC1H 0PP","","","","","","088","X01"
"LIVE-15-16","090","Institute of Archaeology","31-34 Gordon Square, London, WC1H 0PY","","","","","090","","","090","X01"
"LIVE-15-16","002","Gordon Street, 25","25 Gordon Street","London","WC1H 0AY","","","","","","002","X01"
"LIVE-15-16","003","Pearson Building","Gower Street,","London","WC1E 6BT","","","","","","003","X01"
"LIVE-15-16","005","Main Building","Gower Street","London","WC1E 6BT","","","","","","005","X01"
"LIVE-15-16","006","Physics Building","Gower Street,","London","WC1E 6BT","","","","","","006","X01"
"LIVE-15-16","013","Chadwick Building","Gower Street,","London","WC1E 6BT","","","","","","013","X01"
"LIVE-15-16","016","Medical Sciences and Anatomy","Gower Street","London","WC1E 6BT","","","","","","016","X01"
"LIVE-15-16","HUNTL","Huntley Street","Gower Street","London","WC1E 6BT","","","","","","","X01"
"LIVE-15-16","WHNUH","Whittington Nurses Home","Whittington Hospital","Highgate Hill","London","N19 5NF","020 7288 5658/4442","","Whittington Estates and Facilities","","","X03"
"LIVE-15-16","WHWEC","Whittington Education Centre","Whittington Hospital","Highgate Hill","London","N19 5NF","020 7288 3627","020 7288 5918","Alison Banerjee","Anthony Tyrrell","","X03"
"LIVE-15-16","224","Clerkenwell Building","ARCHWAY ROAD","LONDON","N19 3UA","","0207 288 3627","0207 288 5918","Alison Banerjee","Anthony Tyrrell","224","X03"
"LIVE-15-16","CHAFRM","Chase Farm Hospital","","","","","020 7288 3627","020 7288 5918","Alsion Banerjee","Anthony Tyrrell","","X03"
"LIVE-15-16","222","Estates and Facilities Hut","ARCHWAY ROAD","LONDON,","N19 3UA","","020 7288 3627","020 7288 5918","Alison Banerjee","Anthony Tyrrell","222","X03"
"LIVE-15-16","211","Ely Building","ARCHWAY ROAD,","LONDON","N19 3UA","","020 7288 3627","020 7288 5918","Alison Banerjee","Anthony Tyrrell","211","X03"
"LIVE-15-16","TAV29","Tavistock Square, 29","Gower Street","London","WC1E 6BT","","","","","","","X01"
"LIVE-15-16","352","Tottenham Court Road, 90","90 Tottenham Court Road","London","W1T 4TJ","","","","","","352","X01"
"LIVE-17-18","087","Gower Street, 66-72","66-72 Gower Street","London","WC1E 6EA","","","","","","087","X01"
"LIVE-17-18","047","Torrington Place, 33-35","33-35 Torrington Place","London","WC1E 7HG","","","","","","047","X01"
"LIVE-17-18","026","Gordon Square, 24","24 Gordon Square","London","WC1H 0AG","","","","","","026","X01"
"LIVE-15-16","RYHLWY","Royal Holloway","Bedford Square, 2 Gower Street","London","WC1E 6DP","","","","","","","X06"
"LIVE-15-16","RP","Regent's Park","London","NW1 4RY","","","","","","","","X06"
"LIVE-15-16","OVER1","Overseas","","","","","","","","","","X06"
"LIVE-15-16","FH","Friends House","173 Euston Road","London","NW1 2BJ","","020 7663 1000","","","","","X06"
"LIVE-15-16","238","Institute of Child Health - 30 Guildford Street","30 Guildford Street","London","WC1N 1EH","","","","","","238","X05"
"LIVE-15-16","240","Institute of Child Health - Wolfson Centre","MECKLENBURGH SQUARE","London","WC1N2AD","","","","","","240","X05"
"LIVE-15-16","007","London Centre for Nanotechnology","","","","","","","","","006","X01"
"LIVE-15-16","053","MRC - Medical Research Coulcil","Gower Street","London,","WC1E 6BT","","","","","","053","X01"
"LIVE-15-16","Q001","Georgetown Building","UCL Qatar","","","","","","","","","X07"
"LIVE-15-16","389","Tavistock Square, 35","34 Tavistock Square,","London","WC1H 9EZ","","","","","","389","X01"
"LIVE-15-16","CCLS","Centre for Commercial Law Studies - Queen Mary, University of London","67-69 Lincoln's Inn Fields,","London WC2A 3JB","","","","","","","","X06"
"LIVE-15-16","LSE","London School of Economics","Houghton Street","London","WC2A 2AE","","","","","","","X06"
"LIVE-15-16","374","Medical School Building","74 Huntley Street","London","WC1E 6AU","","","","","","374","X01"
"LIVE-15-16","388","Central House","14 Upper Woburn","London","WC1H 0NN","","","","","","388","X01"
"LIVE-15-16","NHNN","National Hospital for Neurology and Neurosurgery","Queen Square","London","WC1N 3BG","","","","","","","X05"
"LIVE-15-16","200","Paul O'Gorman","72 Huntley Street","London","WC1E 6DD","","","","","","200","X01"
"LIVE-15-16","227","Furnival Building","Archway Roa","London","N19 3UA","","0207288 3627","0207288 5918","Alison Banerjee","Anthony Tyrrell","227","X03"
"LIVE-15-16","025","Gordon Square, 25","25 Gordon Square","London","WC1H 0AG","","","","","","025","X01"
"LIVE-15-16","028","Gordon Square, 23","23 Gordon Square","London","WC1H 0AG","","","","","","028","X01"
"LIVE-15-16","032","Gordon Square, 20","20 Gordon Square","London","WC1H 0AG","","","","","","032","X01"
"LIVE-15-16","037","Medawar Building","Gower Street","London","WC1E 6BT","","","","","","037","X01"
"LIVE-15-16","040","Foster Court","Gower Street,","London","WC1E 6BT","","","","","","040","X01"
"LIVE-15-16","044","Darwin Building","Gower Street,","London","WC1E 6BT","","","","","","044","X01"
"LIVE-15-16","045","Roberts Building","Torrington Place","London","WC1E 7JE","","","","","","045","X01"
"LIVE-15-16","049","Wolfson House","2-10 Stephenson Way","London","NW1 2HE","","","","","","049","X01"
"LIVE-15-16","056","Bentham House","4-8 Endsleigh Gardens","London","WC1H 0EG","","","","","","056","X01"
"LIVE-15-16","067","Christopher Ingold Building","20 Gordon Street","London","WC1H 0AJ","","","","","","067","X01"
"LIVE-15-16","082","Wates House","15 ENSLEIGH GARDENS","London","WC1H 0BJ","","","","","","082","X01"
"LIVE-15-16","085","Bedford Way, 26","26 Bedford Way","London","WC1H 0DS","","","","","","085","X01"
"LIVE-15-16","201","Rockefeller Building","21 University Street","London","WC1E 6JJ","","","","","","201","X01"
"LIVE-15-16","121","Mill Hill - Radcliffe Observatory","553 WATFORD WAY, MILL HILL,","LONDON,","NW7 2QS","","","","","","121","X04"
"LIVE-15-16","122","Mill Hill - Fry Observatory","553 WATFORD WAY, MILL HILL,","LONDON,","NW7 2QS","","","","","","122","X04"
"LIVE-15-16","036","Henry Morley","Gower Street,","London","WC1E 6BT","","","","","","036","X01"
"LIVE-15-16","274","Stanmore - Teaching Centre","Brockley Hill, Stanmore","Middlesex","HA7 4LP","","","274","","","","X04"
"LIVE-15-16","212","Cruciform Building","Gower Street,","London","WC1E 6BT","","","","","","212","X01"
"LIVE-15-16","231","Wolfson Building, 27-29 Cayton St","27-29 Cayton Street","London","EC1V 9EJ","","","231","","","231","X05"
"LIVE-15-16","232","Ashton Building, 11-43, Bath St","11-43 Bath Street","London","EC1V 9EL","","","","","","232","X05"
"LIVE-15-16","MOEH","Moorfields Eye Hospital","Bath Street","","","","","233","","","","X05"
"LIVE-15-16","234","Cayton St, 17-25","17-25 CAYTON STREET","London","EC1V 9EH","","","","","","234","X05"
"LIVE-15-16","280","Ear Institute - Gray's Inn Road, 334-336","334-336 GRAYS INN ROAD","LONDON","WC1X 8EE","","","","","","280","X05"
"LIVE-15-16","048","Gower Street, 134-136","134-136 Gower Street","London","WC1E 6BP","","","048","","","048","X01"
"LIVE-15-16","WHBLSMW","Whittington Block L, St. Mary's Wing","","","","","","225","","","","X03"
"LIVE-15-16","264","Institute of Laryngology & Otology","","","","","","264","","","","X05"
"LIVE-15-16","WHBEFAW","Whittington Blocks E&F, Archway Wing","","","","","","221","","","","X03"
"LIVE-15-16","215","Mortimer Market Centre","9-11 Mortimer Market","London","WC1E 6AU","","","215","","","","X01"
"LIVE-15-16","014","Front Lodges","Gower Street","London","WC1E 6BT","","","","","","014","X01"
"LIVE-15-16","120","Mill Hill - Observatory","553 WATFORD WAY, MILL HILL,","LONDON,","NW7 2QS","","","","","","120","X04"
"LIVE-15-16","Senate","Senate House","Malet Street","London","","","","","","","","X06"
"LIVE-15-16","378","Queen Square, 33","33 Queen Square","London","WC1N 3BG","","020 7837 3611","","","","378","X05"
"LIVE-15-16","MEGA","Menier Gallery","51-53 Southwark Street","London","SE1 1RU","","020 7407 3222","","","","","X06"
"LIVE-15-16","INALS","Institute of Advanced Legal Studies","Charles Clore House,17 Russell Square","London","WC1B 5DR","","020 7862 5800","","","","001","X06"
"LIVE-15-16","ULU","University of London Union ULU","Malet Street","London","WC1E 7HY","","","","","","","X06"
"LIVE-15-16","STPHW9","St. Pancras Hospital, Ward 9","Gower Street","London","WC1E 6BT","","","217","","","","X06"
"LIVE-15-16","087","Gower Street, 66-72","66-72 Gower Street","London","WC1E 6EA","","","","","","087","X01"
"LIVE-15-16","181","Birkbeck Gordon Square, 43","39-41 Gordon Square","London","WC1H 0PD","","","","","","091","X06"
"LIVE-15-16","001","Kathleen Lonsdale Building","Gower Street,","London","WC1E 6BT","","","","","","001","X01"
"LIVE-15-16","004","North Wing - Slade School","Gower Street","London","WC1E 6BT","","","004","","","004","X01"
"LIVE-15-16","029","Gordon Square, 22","22 Gordon Square","London","WC1H 0AG","","","","","","029","X01"
"LIVE-15-16","030","Gordon Square, 21","21 Gordon Square","London","WC1H 0AG","","","","","","030","X01"
"LIVE-15-16","033","Gordon Square, 19","19 Gordon Square","London","WC1H 0AG","","","","","","033","X01"
"LIVE-15-16","035","Gordon Square, 16-18","16-18 Gordon Square","London","WC1H 0AG","","","","","","035","X01"
"LIVE-15-16","SSEES12","Taviton Street, 14","14 Taviton Street","London","WC1H 0BW","","","","","","126","X01"
"LIVE-15-16","IMP","Imperial College","London","","","","","","","","001","X06"
"LIVE-15-16","SOAS","SOAS","Thornhaugh Street, Russell Square","London","WC1H 0XGT","","020 7637 2388","","","","","X06"
"LIVE-15-16","041","Petrie Museum - Egyptology","Malet Place","London","WC1E 6BT","","020 7679 2884","","","","041","X01"
"LIVE-15-16","EXT","External","","","","","","","","","","X06"
"LIVE-15-16","RYCGSR","Royal College of Surgeons","35-43 Lincoln's Inn Fields","London","WC2A 3PE","","020 74053474","","","","","X06"
"LIVE-15-16","LBS","London Business School","","","","","","","","","","X06"
"LIVE-15-16","084","Endsleigh Gardens, 9-11","9-11 Endsleigh Gardens","London","WC1H 0EH","","","084","","","","X01"
"LIVE-15-16","202","Rayne Institute","5 UNIVERSITY STREET,","LONDON,","WC1E 6JJ","","","","","","202","X01"
"LIVE-15-16","363","Tottenham Court Road, 188","188 Tottenham Court Road","London","W1T 7PH","","","","","","363","X01"
"LIVE-15-16","371","Gordon Square, 49-51","49 -51 Gordon Square","London","WC1H 0PN","","","","","","371","X01"
"LIVE-15-16","365","Engineering Front Building","Torrington Place","London","WC1E 7JE","","","","","","365","X01"
"LIVE-15-16","203","Gower St 115-117 & 96A-98 Chenies Ms","115 - 117 Gower Street,","London","WC1E 6AP","","","","","","203","X01"
"LIVE-15-16","204","Chenies Mews, 86-96","86-96 & 96A-98 CHENIES MEWS","London","WC1E 6HX","","","","","","204","X01"
"LIVE-15-16","244","Alexandra House","17-19 Queen Square","London","WC1N 3AZ","","","","","","244","X05"
"LIVE-15-16","047","Torrington Place, 33-35","33-35 Torrington Place","London","WC1E 7HG","","","","","","047","X01"
"LIVE-15-16","026","Gordon Square, 24","24 Gordon Square","London","WC1H 0AG","","","","","","026","X01"
"LIVE-15-16","376","Whittington Hospital Undergraduate Centre","Whittington Hospital","Highgate Hill","London","N19 5NF","020 7288 3627","020 7288 5918","Alison Banerjee","Anthony Tyrrell","376","X03"
"LIVE-15-16","221","Holborn Union Building","ARCHWAY ROAD,","LONDON,"," N19 3UA","","020 7288 3627","020 7288 5918","Alison Banerjee","Anthony Tyrrell","221","X03"
"LIVE-15-16","109","Gideon Schreier Wing (Hillel House)","1-2 Endsleigh Street","London","WC1H 0DS","","","","","","109","X01"
"LIVE-15-16","226","Charterhouse Building","ARCHWAY ROAD","London","N19 3UA","","020 7288 3627","020 7288 5918","Alison Banerjee","Anthony Tyrrell","226","X03"
"LIVE-15-16","WHHIW","Whittington Highgate Wing","Whittington Hospital","Highgate Hill","London","N19 5NF","020 7288 5658/4442","020 7288 3627","Whittington Estates and Facilities","Alison Banerjee","","X03"
"LIVE-15-16","WHMCW","Whittington McCarthy Ward","Whittington Hospital","Highgate Hill","London","N19 5NF","","","McCarthy Ward Clerk","","","X03"
"LIVE-15-16","TAV31","Tavistock Square, 31","34 Tavistock Square,","London","WC1H 9EZ","","","","","","","X01"
"LIVE-15-16","125","Andrew Huxley Building","Gower Street","London","WC1E 6BT","","","","","","125","X01"
"LIVE-15-16","RUS26","Birkbeck Russell Square, 26","London","","","","","","","","","X06"
"LIVE-15-16","RUS28","Birkbeck Russell Square, 28","London","","","","","","","","","X06"
"LIVE-15-16","WAR01","Warburg Insitute","Woburn Square"," London","WC1H 0AB","","","","","","",""
"LIVE-15-16","X1","Birkbeck","","","","","","","","","","X06"
"LIVE-15-16","RUS30","Birkbeck Russell Square, 30","London","","","","","","","","","X06"
"LIVE-15-16","401","Ear Institute - Wicklow Street 75","75 Wicklow Street","London"," WC1X 9JY","","","","","","401","X05"
"LIVE-15-16","348","Ear Institute - Grays Inn Road 332","332 Grays Inn Road","London","WC1X 8EE","","","","","","348","X05"
"LIVE-15-16","131","School of Pharmacy","29-39 Brunswick Square","London","WC1N 1AX","","","","","","","X05"
"LIVE-15-16","CANWHA","Canary Wharf","One Canada Square","Canary Wharf","London","E14 5AB","","","","","","X06"
"LIVE-15-16","YHLC","York Hall Leisure Centre","5 Old Ford Road","Bethnal Green","London","E2 9PJ","","","","","","X06"
"LIVE-15-16","368","Ophthalmology Lecture Cabin, 11-43, Bath St","11-43 Bath Street","London","EC1V 9EL","","","","","","368","X05"
"LIVE-15-16","150","Euston Road, 222","222 Euston Road","London","NW1 2DA","","","","","","150","X01"
"LIVE-15-16","268","Stanmore - Student Centre","Brockley Hill, Stanmore","Middlesex","HA7 4LP","","","268","","","","X04"
"LIVE-15-16","245","Eastman Dental Institute","256 Grays Inn Road","London","WX1X 8LD","","","245","","","","X05"
"LIVE-15-16","396","Tottenham Court Road, 170 (ISEH)","170 Tottenham Court Road","London","W1T 7HA","","","","","","396","X01"
"LIVE-15-16","CAMTH","Camden Town Hall","Judd Street","London","WC1H 9JE","","","","","","","X06"
"LIVE-15-16","PCCC","Park Crescent Conference Centre","229 Great Portland Street","London","W1W 5PN","","","","","","","X06"
"LIVE-15-16","GDCOL","Goodenough College","23 Mecklenburgh Square","London","WC1N 2AD","","0207 753 0578","","","","","X06"
"LIVE-15-16","AMBH","Ambassadors Bloomsbury Hotel","12 Upper Woburn Place","WC1H 0HX","London","","","","","","","X06"
"LIVE-15-16","CONGCE","Congress Centre","28 Great Russell St,","London","WC1B 3LS","","","","","","","X06"
"LIVE-16-17","252","The Sainsbury Wellcome Centre","25 Howland St","London","","","","","","","","X06"
"LIVE-15-16","IOE","Institute of Education IOE","20 Bedford Way","London","WC1H 0AL","","","","","","","X01"
"LIVE-15-16","52CLUB","52 Club","Bonham Carter House","52 Gower Street","London","WC1E 6EB","","","","","","X06"
"LIVE-15-16","WHC","Woburn House Conference","20 Tavistock Square","London","WC1H 9HQ","","","","","","WHC","X06"
"LIVE-15-16","HH","Hilton Hotel","17-18 Upper Woburn Place","London","WC1H  0HT","","","","","","HH","X06"
"LIVE-15-16","RNH","Royal National Hotel","38-51 Bedford Way, Russel Square","London","WC1H 0DG","","","","","","RNH","X06"
"LIVE-15-16","BC","Building Centre","Store Street","London","WC1E 7BT","","","","","","BC","X06"
"LIVE-15-16","RS","Rada Studios","16 Chenies Street","London","WC1E 7EX","","","","","","RS","X06"
"LIVE-15-16","RAS","Royal Asiatic Society","14 Stephenson Way, NW1 2HD.","","","","0207 3919422","","Amy Riach","","RAS","X06"
"LIVE-15-16","CANWHABK","Canary Wharf Bank Street","Canary Wharf level 32","40 Bank Street","London","E14 5NR","","","","","","X06"
"LIVE-15-16","BLIB","British Library","96 Euston Road","","","","","","","","","X06"
"LIVE-15-16","YMCA","YMCA","","","","","","","","","","X06"
"LIVE-15-16","ROCK","Rocket","Euston Road","","","","","","","","","X06"
"LIVE-15-16","RIBA","Royal Institute of Building Architects","RIBA 1834 Ltd","66 Portland Place","London","W1B 1AD","020 7580 5533","","","","","X06"
"LIVE-15-16","CAV","Cavendish Conf Centre","Cavendish Conference Centre","22 Duchess Mews","London W1G 9DT","","020 7637 5526","","","","","X06"
"LIVE-16-17","307","Inst Neurology - Queen Square, 7","7 Queen Square","London","WC1N 3AR","","020 7837 3611","","","","378","X05"
"LIVE-16-17","242","Inst Neurology - Queen Square House","22 Queen Square","London","WC1N 3RX","","020 7837 3611","","","","378","X05"
"LIVE-16-17","248","National Hospital for Neurology and Neurosurgery - West Wing","Queen Square","London","WC1NBG","","020 7837 3611","","","","378","X05"
"LIVE-16-17","247","Inst Neurology - Queen Square, 8-11","8-11 Queen Square","London","WC1N 3AR","","020 7837 3611","","","","378","X05"
"LIVE-16-17","BWA","Bengali Workers Association","Surma Community Centre","1 Roberts Road","Camden","NW1 3JU","","","","","","X06"
"LIVE-16-17","Wilson","Wilson Street (69)","69 Wilson Street","London","EC2A 2BB","","","","","","","X06"
"LIVE-16-17","CAMLEY","Camley Street","Camley Street","","","","","","","","","X06"
"LIVE-16-17","UNI","UNISON Centre","130 Euston Road","London","NW1 2AY","","","","","","","X06"
"LIVE-16-17","400","Bidborough House","38-50 Bidborough Street,","London,","WC1H 9BT","","","","","","",""
"LIVE-16-17","X402","South Quad Pop Up Learning Hub","Gower St","London","","","","","","","","X01"
"LIVE-16-17","IMPH","Imperial Hotel","Russell Square","London","","","","","","","","X06"
"LIVE-16-17","CWAY","Conway Hall","25 Red Lion Square","London","WC1R 4RL","","020 7405 1818","","","","","X06"
"LIVE-16-17","317","Hampstead Road, 132","132 Hampstead Road,","London","NW1 2PS","","","","","","204","X01"
"LIVE-16-17","318","Hampstead Road, 140","140 Hampstead Road,","London","NW1 2BX","","","","","","204","X01"
"LIVE-16-17","MWH","Mary Ward House","5-7 Tavistock Pl,","London","WC1H 9SN","","","","","","","X06"
"LIVE-16-17","WHITU","Whittington Intensive Care","Whittington Hospital","Highgate Hill","London","N19 5NF","","","ITU Ward Clerk","","","X03"
"LIVE-16-17","WHTHE","Whittington Theatres","Whittington Hospital","Highgate Hill","London","N19 5NF","","","Theatre Sec/Sister","","","X03"
"LIVE-16-17","WHAAE","Whittington Accident & Emergency","Whittington Hospital","Highgate Hill","London","N19 5NF","","","A&E Secretary","","","X03"
"LIVE-16-17","WHJEN","Whittington Jenner Building","Whittington Hospital","Highgate Hill","London","N19 5NF","020 7288 5989","","Eileen","","","X03"
"LIVE-16-17","WHTCC","Whittington Trevour Clay Centre","Whittington Hospital","Highgate Hill","London","N19 5NF","020 7288 5658/4442","","Whittington Estates and Facilities","","","X03"
"LIVE-16-17","228","Staple Building","The Archway Campus","2-10 Highgate Hill","London","N19 5LW","020 7288 3627","020 7288 5918","Alison Banerjee","Anthony Tyrrell","","X03"
"LIVE-16-17","107","Drayton House","30 Gordon St","London","WC1H 0BE","","","","","","107","X01"
"LIVE-16-17","NOMDX","North Middlesex","","","","","","","","","","X04"
"LIVE-16-17","281","Royal Free Hospital","Rowland Hill,Hampstead","LONDON,","NW3 2PF","","","","","","281","X03"
"LIVE-16-17","042","DMS Watson Building","Gower Street,","London","WC1E 6BT","","","","","","042","X01"
"LIVE-16-17","LEWBLD","Lewis's Building","Gower Street","London","WC1E 6BT","","","","","","","X01"
"LIVE-16-17","350","Malet Place Engineering Building","Gower Street","London","WC1E 6BT","","","","","","350","X01"
"LIVE-16-17","126","Taviton Street 14-16","15 Taviton Street","London","WC1H 0BW","","","","","","126","X01"
"LIVE-16-17","050","Bernard Katz Building","Gower Street,","London","WC1E 6BT","","","","","","050","X01"
"LIVE-16-17","024","Gordon Square, 26","26 Gordon Square","London","WC1H 0AG","","","","","","024","X01"
"LIVE-16-17","GOS3943","Gordon Square, 43","43 Gordon Square","London","WC1H 0PD","","","","","","","X01"
"LIVE-16-17","KINGSCL","Kings College London","","","","","","","","","","X06"
"LIVE-16-17","180","Birkbeck Malet Street","Malet Street","London","","","","","","","","X06"
"LIVE-16-17","INCN","Institute of Cognitive Neuroscience","Alexandra House, 17 Queen Square","London","WC1N 3AR","","020 7679 1177","","","","","X05"
"LIVE-16-17","381","Wellcome Trust Building","183 Euston Road","LONDON","NW1 2BE","","","","","","381","X06"
"LIVE-16-17","182","Birkbeck Clore Management Centre","Torrington Square","London","WC1","","","","","","","X06"
"LIVE-16-17","377","Tavistock Square, 34","34 Tavistock Square,","London","WC1H 9EZ","","","","","","377","X01"
"LIVE-16-17","009","Central Collegiate Building","15 Gordon Street","London","WC1H 0AH","","","","","","009","X01"
"LIVE-16-17","046","Malet Place, 1-4","1-4 Malet Place,","London","WC1E 7JG","","","","","","046","X01"
"LIVE-16-17","235","Chandler House","2 Wakefield Street","London","WC1N 1PG","","","","","","235","X01"
"LIVE-16-17","012","South Wing","Gower Street,","London","WC1E 6BT","","","","","","012","X01"
"LIVE-16-17","034","Contemplation Room","Hut at Rear 19 Gordon Sq","London","WC1E 6BT","","","","","","034","X01"
"LIVE-16-17","086","Torrington Place, 1-19","1-19 Torrington Place","London","WC1E 7HB","","","","","","086","X01"
"LIVE-16-17","251","Astor College","99 Charlotte Street","London","W1T 4QB","","","","","","251","X01"
"LIVE-16-17","257","Charles Bell House","67-73 Riding House St","London","W1P 7PP","","","","","","257","X01"
